Estacion,Fecha inicial,Fecha final,PM10
CAM NORTE,2021 Mar 29 12:00:00 AM,,"11,4"
CAM NORTE,2021 Mar 26 12:00:00 AM,,"11,03"
CAM NORTE,2021 Mar 23 12:00:00 AM,,"10,42"
CAM NORTE,2021 Mar 20 12:00:00 AM,,"12,91"
CAM NORTE,2021 Mar 17 12:00:00 AM,,"14,31"
CAM NORTE,2021 Mar 14 12:00:00 AM,,"7,23"
CAM NORTE,2021 Mar 11 12:00:00 AM,,15
CAM NORTE,2021 Mar 08 12:00:00 AM,,"13,69"
CAM NORTE,2021 Mar 05 12:00:00 AM,,"10,6"
CAM NORTE,2021 Mar 02 12:00:00 AM,,"11,08"
CAM NORTE,2021 Feb 28 12:00:00 AM,,"10,33"
CAM NORTE,2021 Feb 26 12:00:00 AM,,"15,03"
CAM NORTE,2021 Feb 23 12:00:00 AM,,"13,65"
CAM NORTE,2021 Feb 20 12:00:00 AM,,"13,05"
CAM NORTE,2021 Feb 17 12:00:00 AM,,"10,42"
CAM NORTE,2021 Feb 14 12:00:00 AM,,"13,44"
CAM NORTE,2021 Feb 11 12:00:00 AM,,11
CAM NORTE,2021 Feb 08 12:00:00 AM,,"9,87"
CAM NORTE,2021 Feb 05 12:00:00 AM,,"9,1"
CAM NORTE,2021 Feb 02 12:00:00 AM,,"12,19"
CAM NORTE,2021 Jan 31 12:00:00 AM,,"10,28"
CAM NORTE,2021 Jan 28 12:00:00 AM,,"10,96"
CAM NORTE,2021 Jan 25 12:00:00 AM,,"9,42"
CAM NORTE,2021 Jan 22 12:00:00 AM,,"8,95"
CAM NORTE,2021 Jan 19 12:00:00 AM,,"6,77"
CAM NORTE,2021 Jan 16 12:00:00 AM,,"10,47"
CAM NORTE,2021 Jan 13 12:00:00 AM,,"11,66"
CAM NORTE,2021 Jan 10 12:00:00 AM,,"9,41"
CAM NORTE,2021 Jan 07 12:00:00 AM,,"8,39"
CAM NORTE,2021 Jan 04 12:00:00 AM,,"7,32"
CAM NORTE,2020 Dec 29 12:00:00 AM,,"8,03"
CAM NORTE,2020 Dec 26 12:00:00 AM,,"9,02"
CAM NORTE,2020 Dec 23 12:00:00 AM,,"10,87"
CAM NORTE,2020 Dec 20 12:00:00 AM,,"11,36"
CAM NORTE,2020 Dec 17 12:00:00 AM,,"14,21"
CAM NORTE,2020 Dec 14 12:00:00 AM,,"7,96"
CAM NORTE,2020 Dec 11 12:00:00 AM,,"11,61"
CAM NORTE,2020 Dec 08 12:00:00 AM,,"18,28"
CAM NORTE,2020 Dec 05 12:00:00 AM,,"16,31"
CAM NORTE,2020 Dec 02 12:00:00 AM,,"19,29"
CAM NORTE,2020 Nov 30 12:00:00 AM,,"6,94"
CAM NORTE,2020 Nov 27 12:00:00 AM,,"7,07"
CAM NORTE,2020 Nov 24 12:00:00 AM,,"7,94"
CAM NORTE,2020 Nov 21 12:00:00 AM,,"7,22"
CAM NORTE,2020 Nov 18 12:00:00 AM,,"8,02"
CAM NORTE,2020 Nov 15 12:00:00 AM,,"10,34"
CAM NORTE,2020 Nov 12 12:00:00 AM,,11
CAM NORTE,2020 Nov 09 12:00:00 AM,,"7,97"
CAM NORTE,2020 Nov 06 12:00:00 AM,,"7,12"
CAM NORTE,2020 Nov 03 12:00:00 AM,,"12,71"
CAM NORTE,2020 Oct 29 12:00:00 AM,,"11,65"
CAM NORTE,2020 Oct 26 12:00:00 AM,,"11,35"
CAM NORTE,2020 Oct 23 12:00:00 AM,,"9,23"
CAM NORTE,2020 Oct 20 12:00:00 AM,,"9,61"
CAM NORTE,2020 Oct 17 12:00:00 AM,,"13,18"
CAM NORTE,2020 Oct 14 12:00:00 AM,,"13,79"
CAM NORTE,2020 Oct 11 12:00:00 AM,,"12,09"
CAM NORTE,2020 Oct 08 12:00:00 AM,,"12,38"
CAM NORTE,2020 Oct 05 12:00:00 AM,,"12,87"
CAM NORTE,2020 Oct 02 12:00:00 AM,,"16,52"
CAM NORTE,2020 Sep 29 12:00:00 AM,,"32,5"
CAM NORTE,2020 Sep 26 12:00:00 AM,,"28,75"
CAM NORTE,2020 Sep 23 12:00:00 AM,,"20,42"
CAM NORTE,2020 Sep 20 12:00:00 AM,,"9,99"
CAM NORTE,2020 Sep 17 12:00:00 AM,,"21,25"
CAM NORTE,2020 Sep 14 12:00:00 AM,,"26,66"
CAM NORTE,2020 Sep 11 12:00:00 AM,,"19,16"
CAM NORTE,2020 Sep 08 12:00:00 AM,,"22,5"
CAM NORTE,2020 Sep 05 12:00:00 AM,,"21,25"
