Año,Trimestre,PIB a precios constantes del 2015,Tipo
2016,1,2414.76,Historico
2016,2,2588.06,Historico
2016,3,2580.33,Historico
2016,4,2694.37,Historico
2017,1,2413.65,Historico
2017,2,2678.55,Historico
2017,3,2613.81,Historico
2017,4,2759.7,Historico
2018,1,2521.87,Historico
2018,2,2729.67,Historico
2018,3,2642.88,Historico
2018,4,2798.89,Historico
2019,1,2580.05,Historico
2019,2,2796.36,Historico
2019,3,2715.36,Historico
2019,4,2914.25,Historico
2020,1,2549.15,Historico
2020,2,2755.39,Historico
2020,3,2622.36,Historico
2020,4,2918.99,Historico
2021,1,2598.34,Historico
2021,2,2789.76,Historico
2021,3,2843.38,Historico
2021,4,3055.11,Historico
2022,1,2635.83,Historico
2022,2,2961.34,Historico
2022,3,2975.51,Historico
2022,4,3097.44,Historico
2023,1,2737.98,Historico
2023,2,3091.16,Historico
2023,3,3016.2,Historico
2023,4,3203.24,Historico
2024,1,2704.46,Historico
2024,2,3134.8,Historico
2024,3,3045.5,Historico
2024,4,3249.28,Historico
2025,1,2873.78,Historico
2025,2,3213.12,Prediccion
2025,3,3142.07,Prediccion
2025,4,3341.3,Prediccion
2026,1,2901.91,Prediccion
2026,2,3286.99,Prediccion
2026,3,3214.3,Prediccion
2026,4,3418.11,Prediccion
